,cosine,word_1,word_2,place
0,0.0,большой экстрим,большой экстрим,chicago_360
1,0.0,большой экстрим,наклонный окно,chicago_360
2,0.0,большой экстрим,стекло большой,chicago_360
3,0.0,большой экстрим,большой экстрим,chicago_360
4,0.0,большой экстрим,наклонный окно,chicago_360
5,0.0,большой экстрим,стекло большой,chicago_360
6,0.0,большой экстрим,большой экстрим,chicago_360
7,0.0,большой экстрим,наклонный окно,chicago_360
8,0.0,большой экстрим,стекло большой,chicago_360
9,0.0,боязнь противный,боязнь противный,chicago_360
10,0.0,боязнь противный,единственный причина,chicago_360
11,0.0,боязнь противный,противный случай,chicago_360
12,0.0,боязнь противный,случай панорамный,chicago_360
13,0.0,боязнь противный,боязнь противный,chicago_360
14,0.0,боязнь противный,единственный причина,chicago_360
15,0.0,боязнь противный,противный случай,chicago_360
16,0.0,боязнь противный,случай панорамный,chicago_360
17,0.25456318263001954,боязнь противный,приехать сюда,chicago_360
18,0.0,боязнь противный,боязнь противный,chicago_360
19,0.0,боязнь противный,единственный причина,chicago_360
20,0.0,боязнь противный,противный случай,chicago_360
21,0.0,боязнь противный,случай панорамный,chicago_360
22,0.0,боязнь противный,боязнь противный,chicago_360
23,0.0,боязнь противный,единственный причина,chicago_360
24,0.0,боязнь противный,противный случай,chicago_360
25,0.0,боязнь противный,случай панорамный,chicago_360
26,0.0,быстро поднять,быстро поднять,chicago_360
27,0.0,быстро поднять,вдалеке приехать,chicago_360
28,0.0,быстро поднять,знать ещё,chicago_360
29,0.0,быстро поднять,лифт смотровой,chicago_360
30,0.0,быстро поднять,некоторый время,chicago_360
31,0.0,быстро поднять,площадка довольный,chicago_360
32,0.0,быстро поднять,площадка некоторый,chicago_360
33,0.0,быстро поднять,поворотный палуба,chicago_360
34,0.0,быстро поднять,поэтому знать,chicago_360
35,0.0,быстро поднять,сюда остаться,chicago_360
36,0.0,быстро поднять,туда приехать,chicago_360
37,0.0,быстро поднять,быстро поднять,chicago_360
38,0.0,быстро поднять,вдалеке приехать,chicago_360
39,0.0,быстро поднять,знать ещё,chicago_360
40,0.0,быстро поднять,лифт смотровой,chicago_360
41,0.0,быстро поднять,некоторый время,chicago_360
42,0.0,быстро поднять,площадка довольный,chicago_360
43,0.0,быстро поднять,площадка некоторый,chicago_360
44,0.0,быстро поднять,поворотный палуба,chicago_360
45,0.0,быстро поднять,поэтому знать,chicago_360
46,0.0,быстро поднять,сюда остаться,chicago_360
47,0.0,быстро поднять,туда приехать,chicago_360
48,0.0,быстро поднять,быстро поднять,chicago_360
49,0.0,быстро поднять,вдалеке приехать,chicago_360
50,0.0,быстро поднять,знать ещё,chicago_360
51,0.0,быстро поднять,лифт смотровой,chicago_360
52,0.0,быстро поднять,некоторый время,chicago_360
53,0.0,быстро поднять,площадка довольный,chicago_360
54,0.0,быстро поднять,площадка некоторый,chicago_360
55,0.0,быстро поднять,поворотный палуба,chicago_360
56,0.0,быстро поднять,поэтому знать,chicago_360
57,0.0,быстро поднять,сюда остаться,chicago_360
58,0.0,быстро поднять,туда приехать,chicago_360
59,0.0,быстро поднять,быстро поднять,chicago_360
60,0.0,быстро поднять,вдалеке приехать,chicago_360
61,0.0,быстро поднять,знать ещё,chicago_360
62,0.0,быстро поднять,лифт смотровой,chicago_360
63,0.0,быстро поднять,некоторый время,chicago_360
64,0.0,быстро поднять,площадка довольный,chicago_360
65,0.0,быстро поднять,площадка некоторый,chicago_360
66,0.0,быстро поднять,поворотный палуба,chicago_360
67,0.0,быстро поднять,поэтому знать,chicago_360
68,0.0,быстро поднять,сюда остаться,chicago_360
69,0.0,быстро поднять,туда приехать,chicago_360
70,0.0,быстро поднять,быстро поднять,chicago_360
